,min_hue,max_hue,mean_hue,std_hue,min_value,max_value,mean_value,std_value,n_contours,contour_area,centroid_x,centroid_y,perimeter,max_diameter,min_diameter,horizontal_asymmetry,vertical_asymmetry
IM_000521,-137.4382349061929,41.56176509380711,-129.3443503610666,6.242008453586637,-3.0,140.0,71.24683827372709,32.26858119820173,222,193556.5,1416,928,18022,528.3722534179688,479.2313537597656,1.08,1.09
IM_000737,-223.63553185755362,-44.635531857553616,-212.82881635431846,4.595525911171766,-89.0,96.0,19.291109654248498,29.304565579732774,1306,201585.0,481,336,213378,650.7537231445312,518.73779296875,1.4,1.4
IM_000740,-178.64442637450426,0.3555736254957367,-159.64835893571967,39.10511731111218,48.0,240.0,160.97357059548088,17.51285941350968,4417,4558901.0,1655,1023,2653251,2258.528076171875,1960.9207763671875,0.8,0.78
IM_000411,-172.20598870515582,6.794011294844182,-148.90801246010858,53.230133160866686,38.0,221.0,145.03314074605257,24.827750153087514,1309,208886.0,622,384,203417,823.03369140625,386.1468200683594,1.35,1.16
IM_000678,-134.11536437356753,44.88463562643247,16.927261882106848,41.389013192321094,82.0,218.0,171.8185505725273,11.6369605461856,1888,124202.0,991,342,566551,974.7943725585938,937.5342407226562,6.12,6.26
IM_000626,-177.97528863393146,-168.97528863393146,-173.31664457283304,0.8605676248974985,111.0,197.0,163.15759818658628,9.912950223015814,1383,256421.0,928,791,211647,731.0,634.0,1.47,1.39
IM_000513,-164.65510934302614,14.34489065697386,-147.69986278724147,42.527257301617865,-102.0,4.0,-42.91505082429316,14.915937159572579,134,188685.5,2077,1137,11293,445.0,422.0,0.9,0.88
IM_000859,-132.4414234932444,-123.4414234932444,-126.74274715627926,1.5161647481774887,80.0,150.0,115.82771097158668,9.990558338086263,304,111642.5,1599,1073,28186,444.99993896484375,358.99993896484375,1.18,1.18
IM_000136,-201.29042408563546,-22.290424085635465,-192.66146709704245,6.575870406902749,-8.0,192.0,128.5458409200481,28.2313665217722,1627,241125.5,464,380,210335,694.920654296875,443.36669921875,1.03,1.04
IM_000811,-223.83102343014681,-44.831023430146814,-208.88242651380494,44.20567748917189,17.0,252.0,101.62835796563417,40.04356153777833,565,4783374.5,3808,1729,246668,3176.2880859375,2397.77490234375,1.27,1.25
IM_000076,-202.42531999594496,-23.42531999594496,-63.08927946844413,59.583665175111484,-13.0,55.0,14.491258774336368,9.156338640151363,150,109316.5,1942,1418,15719,546.0,513.0,2.15,2.06
IM_000636,-233.80471743566275,-54.80471743566275,-67.8901664905783,12.7556155602717,-118.0,83.0,-53.4648249636506,44.36986590326973,730,75396.0,537,286,71493,387.0043029785156,311.1287536621094,1.4,1.42
IM_000973,-222.05311366808712,-43.05311366808712,-206.35252139621397,6.687892544213992,144.0,220.0,190.94082999754923,8.613224914348113,1209,92781.0,632,365,234923,613.552978515625,527.0579833984375,2.95,2.93
IM_000899,-158.50669079189828,-146.50669079189828,-151.3153192019321,1.3373940890160712,115.0,199.0,150.17222389278672,5.1691469992486985,524,957484.5,2171,1508,71358,1452.886474609375,1116.252685546875,1.35,1.23
IM_000280,-187.7405967275344,-170.7405967275344,-177.99711222574908,1.0700616089851906,60.0,198.0,172.9759058534878,9.429171478954627,349,938256.0,2353,1998,38892,1225.995361328125,898.007568359375,0.93,0.95
